Apodo,Nombre,Fecha,Ciudad,Provincia,País,PJ,PT,PC,PS,PX,PG,PE,PP,Min,G,GP,GPP,GE,TA,TR,EI,EF,Altura,Peso
Irureta,Javier Iruretagoyena Amiano,01/04/1948,Irun,Gipuzkoa,España,6,4,2,2,2,2,3,1,412,0,0,0,0,0,0,24,27,176.0,70.0
Asensi,Vicente Asensi Albentosa,28/01/1919,L'Alcúdia de Crespins,Valencia,España,6,6,6,0,0,4,1,1,540,0,0,0,0,0,0,26,31,173.0,74.0
Campos,Francisco Campos Salamanca,08/03/1916,Las Palmas de Gran Canaria,Las Palmas,España,6,6,6,0,0,3,2,1,540,5,1,0,0,0,0,24,26,181.0,80.0
De la Cruz,Jesús Antonio de la Cruz Gallego,07/05/1947,León,León,España,6,5,5,1,0,2,3,1,473,0,0,0,0,0,0,24,31,171.0,67.0
Gavi,Pablo Martín Páez Gavira,05/08/2004,Los Palacios y Villafranca,Sevilla,España,6,5,0,1,5,5,0,1,399,0,0,0,0,0,0,17,17,173.0,70.0
Claudio,Claudio Barragán Escobar,10/04/1964,Manises,Valencia,España,6,5,1,1,4,4,2,0,360,0,0,0,0,1,0,28,29,177.0,75.0
José María,José María García La Villa,23/05/1942,Pola de Siero,Asturias,España,6,6,6,0,0,3,1,2,540,1,0,0,0,0,0,24,25,174.0,73.0
Cristóbal,Cristóbal Parralo Aguilera,21/08/1967,Priego de Córdoba,Córdoba,España,6,3,3,3,0,3,1,2,389,1,0,0,0,1,0,24,25,178.0,78.0
Salva,Salvador García Puig,04/03/1961,Sant Adrià de Besòs,Barcelona,España,6,2,0,4,2,2,2,2,318,0,0,0,0,1,0,22,23,181.0,77.0
Serna,Ricardo Jesús Serna Orozco,21/01/1964,Sevilla,Sevilla,España,6,5,5,1,0,4,0,2,475,0,0,0,0,0,0,24,26,184.0,77.0
Carlos,Carlos Antonio Muñoz Cobo,25/08/1961,Úbeda,Jaén,España,6,5,2,1,3,3,1,2,424,6,0,0,0,0,0,29,29,175.0,72.0
Carlos Soler,Carlos Soler Barragán,02/01/1997,València,Valencia,España,6,5,1,1,4,5,0,1,400,2,0,0,0,0,0,25,24,180.0,76.0
Celayeta,Genaro Celayeta San Sebastián,09/11/1954,Vera de Bidasoa,Navarra,España,6,6,4,0,2,1,3,2,452,0,0,0,0,0,0,25,26,176.0,72.0
Vicente,José Vicente Train,19/12/1931,Barcelona,Barcelona,España,7,7,6,0,1,3,2,2,586,0,0,0,9,0,0,29,31,181.0,75.0
Iraragorri,José Iraragorri Ealo,16/03/1912,Basauri,Bizkaia,España,7,6,6,1,0,2,3,2,643,1,1,0,0,0,0,19,23,178.0,75.0
Buyo,Francisco Buyo Sánchez,13/01/1958,Betanzos,A Coruña,España,7,2,2,5,0,4,2,1,335,0,0,0,2,0,0,25,34,179.0,77.0
Parra,José Parra Martínez,20/08/1925,Blanes,Girona,España,7,7,7,0,0,2,3,2,630,0,0,0,0,0,0,24,25,174.0,77.0
Santisteban,Juan Santisteban Troyano,08/12/1936,Coria del Río,Sevilla,España,7,7,7,0,0,4,2,1,630,0,0,0,0,0,0,20,22,174.0,68.0
Solsona,Daniel Solsona Puig,18/01/1952,Cornellà de Llobregat,Barcelona,España,7,4,4,3,0,2,2,3,471,0,0,0,0,0,0,21,29,169.0,67.0
Arieta II,Antón Arieta-Araunabeña Piedra,06/01/1946,Durango,Bizkaia,España,7,5,3,2,2,5,2,0,406,3,0,0,0,0,0,24,26,174.0,73.0
Marcos Alonso,Marcos Alonso Mendoza,28/12/1990,Madrid,Madrid,España,7,5,3,2,2,5,0,2,463,0,0,0,0,0,0,27,30,189.0,85.0
Aguilera,Carlos Aguilera Martín,22/05/1969,Madrid,Madrid,España,7,6,3,1,3,4,2,1,502,0,0,0,0,1,0,28,29,174.0,76.0
Miguel Muñoz,Miguel Muñoz Mozún,19/01/1922,Madrid,Madrid,España,7,7,7,0,0,3,3,1,630,0,0,0,0,0,0,26,33,165.0,70.0
Luis García,Luis García Fernández,06/02/1981,Oviedo,Asturias,España,7,2,0,5,2,5,2,0,226,0,0,0,0,0,0,26,27,180.0,68.0
Zabalza,Pedro María Zabalza Inda,13/04/1944,Pamplona,Navarra,España,7,6,5,1,1,3,3,1,540,0,0,0,0,0,0,24,25,178.0,75.0
Rafa Paz,Rafael Paz Marín,02/08/1965,Puebla de Don Fadrique,Granada,España,7,2,0,5,2,4,1,2,243,0,0,0,0,0,0,24,25,180.0,72.0
Molowny,Luis Molowny Arbelo,12/05/1925,Santa Cruz de Tenerife,Santa Cruz de Tenerife,España,7,7,6,0,1,2,4,1,580,2,0,0,0,0,0,24,29,167.0,70.0
Quino,Joaquín Sierra Vallejo,06/09/1945,Sevilla,Sevilla,España,7,6,5,1,1,4,3,0,556,3,0,0,0,0,0,24,27,179.0,75.0
Koldo Aguirre,Koldo Aguirre Bidaurrazaga,27/04/1939,Sondika,Bizkaia,España,7,6,6,1,0,4,2,1,584,0,0,0,0,0,0,21,26,174.0,75.0
Maguregui,José María Maguregui Ibargutxi,16/03/1934,Ugao-Miraballes,Bizkaia,España,7,7,7,0,0,3,2,2,630,1,0,0,0,0,0,21,23,172.0,70.0
Iraola,Andoni Iraola Sagarna,22/06/1982,Usurbil,Gipuzkoa,España,7,4,4,3,0,6,0,1,442,0,0,0,0,1,0,26,29,182.0,74.0
San José,Mikel San José Domínguez,30/05/1989,Villava,Navarra,España,7,5,3,2,2,3,1,3,493,0,0,0,0,2,0,25,27,188.0,78.0
Eulogio Martínez,Eulogio Martínez Ramiro,11/03/1935,Asunción,Extranjero,Paraguay,8,5,4,3,1,6,0,2,550,6,0,0,0,0,0,24,27,174.0,77.0
Bosch,Crisanto Bosch Espín,26/12/1907,Barcelona,Barcelona,España,8,8,7,0,0,5,1,2,710,1,0,0,0,0,0,21,26,175.0,65.0
Adama,Adama Traoré Diarra,25/01/1996,Barcelona,Barcelona,España,8,1,1,7,0,3,3,2,271,0,0,0,0,0,0,25,25,178.0,86.0
Tejada,Justo Tejada Martínez,06/01/1933,Barcelona,Barcelona,España,8,7,6,1,1,7,1,0,601,4,0,0,0,0,0,25,28,171.0,68.0
Zárraga,José María Zárraga Martín,15/08/1930,Getxo,Bizkaia,España,8,8,8,0,0,5,2,1,720,0,0,0,0,0,0,24,28,170.0,64.0
Nando,Fernando González Balenciaga,01/02/1921,Getxo,Bizkaia,España,8,8,7,0,0,3,3,2,714,0,0,0,0,0,0,25,30,175.0,67.0
Fusté,Josep Maria Fusté Blanch,15/04/1941,Linyola,Lleida,España,8,6,6,2,0,5,0,3,658,3,0,0,0,0,0,22,28,175.0,74.0
Víctor,Víctor Sánchez del Amo,23/02/1976,Madrid,Madrid,España,8,5,0,3,5,3,3,2,403,0,0,0,0,1,0,24,28,182.0,74.0
Mateos,Enrique Mateos Mancebo,15/07/1934,Madrid,Madrid,España,8,6,5,2,1,5,0,3,576,3,0,0,0,0,0,22,26,167.0,64.0
Llorente,Diego Javier Llorente Ríos,16/08/1993,Madrid,Madrid,España,8,4,2,4,1,6,2,0,395,0,0,0,0,1,1,22,27,186.0,75.0
Gonzalvo II,Josep Gonzalvo Falcón,16/01/1920,Mollet del Vallès,Barcelona,España,8,8,8,0,0,5,2,1,720,0,0,0,0,0,0,28,30,172.0,66.0
Nando,Fernando Muñoz García,30/10/1967,Sevilla,Sevilla,España,8,7,6,1,1,3,1,4,630,0,0,0,0,2,0,22,24,187.0,84.0
Pachín,Enrique Pérez Díaz,28/12/1938,Torrelavega,Cantabria,España,8,8,8,0,0,5,2,1,720,0,0,0,0,0,0,21,24,176.0,74.0
Fernando,Fernando Gómez Colomer,11/09/1965,València,Valencia,España,8,3,3,5,0,6,2,0,390,2,0,0,0,0,0,24,26,179.0,75.0
Cardeñosa,Julio Cardeñosa Rodríguez,27/10/1949,Valladolid,Valladolid,España,8,8,6,0,2,4,2,2,632,0,0,0,0,2,0,28,30,170.0,65.0
Quincoces,Juan Carlos Díaz Quincoces,26/01/1933,Vitoria-Gasteiz,Araba/Álava,España,8,8,8,0,0,5,2,1,720,0,0,0,0,0,0,24,26,182.0,76.0
Valdez,Óscar Rubén Valdez Ferrero,25/07/1946,Buenos Aires,Extranjero,Argentina,9,9,9,0,0,4,2,3,810,5,0,0,0,0,0,25,27,170.0,69.0
Lucas Vázquez,Lucas Vázquez Iglesias,01/07/1991,Curtis,A Coruña,España,9,2,0,7,2,4,3,2,300,0,0,0,0,0,0,24,26,173.0,70.0
Soler,Miquel Soler Sarasols,16/03/1965,Hostalets d'en Bas,Girona,España,9,5,4,4,1,2,2,5,597,0,0,0,0,0,0,22,26,180.0,70.0
Voro,Salvador González Marco,09/10/1963,L'Alcúdia,Valencia,España,9,7,5,2,2,6,2,1,619,0,0,0,0,1,0,30,31,182.0,80.0
Otero,Jorge Otero Bouzas,28/01/1969,Nigrán,Pontevedra,España,9,6,5,3,1,4,3,2,600,0,0,0,0,2,0,24,27,175.0,70.0
Gerardo,Gerardo Miranda Concepción,16/11/1956,Nouadhibou,Extranjero,Mauritania,9,9,9,0,0,5,2,2,810,0,0,0,0,0,0,24,28,178.0,72.0
Paquito,Francisco García Gómez,14/02/1938,Oviedo,Asturias,España,9,9,9,0,0,3,5,1,810,0,0,0,0,0,0,24,29,181.0,76.0
Uriarte,Fidel Uriarte Macho,01/03/1945,Sestao,Bizkaia,España,9,8,6,1,2,7,1,1,638,1,0,0,0,0,0,22,27,175.0,74.0
Cundi,Secundino Suárez Vázquez,13/04/1955,Sotrondio,Asturias,España,9,7,7,2,0,4,1,4,705,0,0,0,0,0,0,23,26,170.0,74.0
Molina,José Francisco Molina Jiménez,08/08/1970,València,Valencia,España,9,7,4,2,3,3,4,2,583,0,0,0,3,1,0,25,29,185.0,89.0
Igoa,Silvestre Igoa Garciandía,05/09/1920,Añorga,Gipuzkoa,España,10,9,8,1,1,6,3,1,791,7,0,0,0,0,0,27,29,173.0,73.0
Bruno Soriano,Bruno Soriano Llido,12/06/1984,Artana,Castellón,España,10,5,3,5,2,7,1,2,580,0,0,0,0,0,0,26,32,179.0,74.0
Del Horno,Asier del Horno Cosgaya,19/01/1981,Barakaldo,Bizkaia,España,10,10,8,0,2,7,3,0,821,2,0,0,0,1,0,23,24,183.0,72.0
Toni Muñoz,Antonio Muñoz Gómez,04/02/1968,Córdoba,Córdoba,España,10,9,6,1,2,6,3,1,777,2,0,0,0,1,1,24,25,175.0,74.0
Romero,Enrique Fernández Romero,23/06/1971,Jerez de la Frontera,Cádiz,España,10,6,6,4,0,6,3,1,640,0,0,0,0,1,0,28,33,183.0,79.0
Sadurní,Salvador Sadurní Urpí,03/04/1941,L'Arboç,Tarragona,España,10,9,8,1,1,3,4,3,810,0,0,0,8,0,0,21,28,180.0,87.0
Velázquez,Manuel Velázquez Villaverde,24/01/1943,Madrid,Madrid,España,10,9,8,1,1,4,3,3,812,2,0,0,0,0,0,24,32,175.0,75.0
Eladio,Eladio Silvestre Graells,18/11/1940,Sabadell,Barcelona,España,10,10,9,0,0,4,4,2,873,0,0,0,0,0,1,25,29,179.0,80.0
Canales,Sergio Canales Madrazo,16/02/1991,Santander,Cantabria,España,10,6,1,4,5,5,4,1,447,1,0,0,0,0,0,28,30,176.0,70.0
Sanchis,Manuel Sanchis Martínez,26/03/1938,Alberic,Valencia,España,11,11,11,0,0,3,3,5,990,1,0,0,0,0,0,27,29,171.0,67.0
Giner,Fernando Giner Gil,31/12/1964,Alboraia,Valencia,España,11,10,10,1,0,7,2,2,944,0,0,0,0,3,0,26,28,182.0,78.0
Sergio,Sergio González Soriano,10/11/1976,Barcelona,Barcelona,España,11,2,1,9,1,7,2,2,370,0,0,0,0,0,0,24,28,182.0,77.0
Roberto Ríos,Roberto Ríos Patus,08/10/1971,Bilbao,Bizkaia,España,11,4,3,7,1,7,3,1,501,0,0,0,0,2,0,25,26,194.0,84.0
Bernat,Juan Bernat Velasco,01/03/1993,Cullera,Valencia,España,11,8,6,3,2,7,2,2,720,1,0,0,0,0,0,21,26,177.0,67.0
Campanal II,Marcelino Vaquero González del Río,13/02/1932,Gijón,Asturias,España,11,10,10,1,0,4,4,3,995,0,0,0,0,0,0,20,25,177.0,72.0
Luis Aragonés,Luis Aragonés Suárez,28/07/1938,Hortaleza,Madrid,España,11,10,7,1,3,7,4,0,786,3,0,0,0,0,0,26,33,180.0,73.0
Biosca,Gustavo Biosca Pagés,29/02/1928,L'Hospitalet de Llobregat,Barcelona,España,11,11,11,0,0,3,5,3,1020,0,0,0,0,0,0,23,26,174.0,69.0
López,Juan Manuel López Martínez,03/09/1969,Madrid,Madrid,España,11,7,6,4,1,2,9,0,748,0,0,1,0,2,1,23,27,186.0,79.0
Kepa,Kepa Arrizabalaga Revuelta,03/10/1994,Ondarroa,Bizkaia,España,11,9,8,2,1,8,3,0,868,0,0,0,4,2,0,23,26,186.0,89.0
Angulo,Miguel Ángel Angulo Valderrey,23/06/1977,Oviedo,Asturias,España,11,6,1,5,5,8,1,2,496,0,0,0,0,0,0,27,30,180.0,74.0
Merino,Mikel Merino Zazón,22/06/1996,Pamplona,Navarra,España,11,4,2,7,2,6,3,2,456,0,0,0,0,1,0,24,25,189.0,83.0
Juanfran,Juan Francisco García García,15/07/1976,Rafelbunyol,Valencia,España,11,9,7,2,2,6,3,2,861,0,0,0,0,1,0,23,26,183.0,78.0
Sergi Roberto,Sergi Roberto Carnicer,07/02/1992,Reus,Tarragona,España,11,8,7,3,1,7,3,1,712,1,0,0,0,0,0,24,29,178.0,68.0
Venancio,Venancio Pérez García,22/04/1921,Sestao,Bizkaia,España,11,10,10,1,0,5,4,2,974,4,0,0,0,0,0,28,32,181.0,80.0
Pernía,Mariano Andrés Pernía Molina,04/05/1977,Tandil,Extranjero,Argentina,11,11,9,0,2,7,3,1,903,1,0,0,0,1,0,29,30,177.0,77.0
Dani Ceballos,Daniel Ceballos Fernández,07/08/1996,Utrera,Sevilla,España,11,9,4,2,5,5,3,3,760,1,0,0,0,4,0,22,24,179.0,71.0
Vallana,Pedro Vicente Saturnino Vallana Jeanguenat,29/11/1897,Getxo,Bizkaia,España,12,12,12,0,0,8,1,3,1080,0,0,1,0,0,0,22,30,173.0,76.0
Alonso,Gabriel Alonso Aristiaguirre,09/11/1923,Hondarribia,Gipuzkoa,España,12,12,12,0,0,5,5,2,1080,0,0,0,0,0,0,24,28,167.0,68.0
